date,price
2018-01-16,5228
2018-01-17,5182
2018-01-18,5216
2018-01-19,5150
2018-01-22,5190
2018-01-23,5202
2018-01-24,5230
2018-01-25,5226
2018-01-26,5228
2018-01-29,5256
2018-01-30,5190
2018-01-31,5192
2018-02-01,5136
2018-02-02,5090
2018-02-05,5098
2018-02-06,5106
2018-02-07,5122
2018-02-08,5130
2018-02-09,5120
2018-02-12,5192
2018-02-13,5174
2018-02-14,5140
2018-02-22,5150
2018-02-23,5256
2018-02-26,5288
2018-02-27,5296
2018-02-28,5330
2018-03-01,5340
2018-03-02,5266
2018-03-05,5254
2018-03-06,5256
2018-03-07,5212
2018-03-08,5134
2018-03-09,5064
2018-03-12,5074
2018-03-13,5112
2018-03-14,5108
2018-03-15,5110
2018-03-16,5100
2018-03-19,5108
2018-03-20,5126
2018-03-21,5090
2018-03-22,5118
2018-03-23,5112
2018-03-26,5104
2018-03-27,5076
2018-03-28,5078
2018-03-29,5010
2018-03-30,5062
2018-04-02,5130
2018-04-03,5112
2018-04-04,5144
2018-04-09,5170
2018-04-10,5142
2018-04-11,5118
2018-04-12,5036
2018-04-13,5058
2018-04-16,5024
2018-04-17,4986
2018-04-18,4998
2018-04-19,5016
2018-04-20,5010
2018-04-23,5016
2018-04-24,4980
2018-04-25,4990
2018-04-26,4984
2018-04-27,4992
2018-05-02,4986
2018-05-03,4980
2018-05-04,4950
2018-05-07,4980
2018-05-08,4986
2018-05-09,5036
2018-05-10,5086
2018-05-11,5096
2018-05-14,5070
2018-05-15,5074
2018-05-16,5066
2018-05-17,5066
2018-05-18,5128
2018-05-21,5132
2018-05-22,5162
2018-05-23,5144
2018-05-24,5178
2018-05-25,5118
2018-05-28,5034
2018-05-29,5068
2018-05-30,5088
2018-05-31,5096
2018-06-01,5098
2018-06-04,5096
2018-06-05,5044
2018-06-06,5034
2018-06-07,5024
2018-06-08,4976
2018-06-11,4964
2018-06-12,4924
2018-06-13,4854
2018-06-14,4864
2018-06-15,4850
2018-06-19,4630
2018-06-20,4660
2018-06-21,4696
2018-06-22,4718
2018-06-25,4728
2018-06-26,4758
2018-06-27,4782
2018-06-28,4816
2018-06-29,4856
2018-07-02,4872
2018-07-03,4864
2018-07-04,4812
2018-07-05,4822
2018-07-06,4822
2018-07-09,4784
2018-07-10,4694
2018-07-11,4654
2018-07-12,4646
2018-07-13,4600
2018-07-16,4646
2018-07-17,4638
2018-07-18,4654
2018-07-19,4774
2018-07-20,4736
2018-07-23,4760
2018-07-24,4780
2018-07-25,4772
2018-07-26,4802
2018-07-27,4850
2018-07-30,4852
2018-07-31,4842
2018-08-01,4868
2018-08-02,4908
2018-08-03,4870
2018-08-06,4894
2018-08-07,4912
2018-08-08,4928
2018-08-09,4948
2018-08-10,4970
2018-08-13,4922
2018-08-14,4890
2018-08-15,4900
2018-08-16,4868
2018-08-17,4922
2018-08-20,4944
2018-08-21,4948
2018-08-22,4954
2018-08-23,4932
2018-08-24,4918
2018-08-27,4840
2018-08-28,4900
2018-08-29,4858
2018-08-30,4892
2018-08-31,4868
2018-09-03,4894
2018-09-04,4950
2018-09-05,4936
2018-09-06,4946
2018-09-07,4900
2018-09-10,4928
2018-09-11,4922
2018-09-12,4882
2018-09-13,4872
2018-09-14,4858
2018-09-17,4852
2018-09-18,4776
2018-09-19,4732
2018-09-20,4684
2018-09-21,4652
2018-09-25,4690
2018-09-26,4736
2018-09-27,4732
2018-09-28,4698
2018-10-08,4750
2018-10-09,4806
2018-10-10,4806
2018-10-11,4718
2018-10-12,4798
2018-10-15,4808
2018-10-16,4786
2018-10-17,4808
2018-10-18,4728
2018-10-19,4736
2018-10-22,4774
2018-10-23,4766
2018-10-24,4704
2018-10-25,4664
2018-10-26,4662
2018-10-29,4672
2018-10-30,4634
2018-10-31,4650
2018-11-01,4618
2018-11-02,4532
2018-11-05,4556
2018-11-06,4530
2018-11-07,4508
2018-11-08,4470
2018-11-09,4412
2018-11-12,4384
2018-11-13,4368
2018-11-14,4272
2018-11-15,4286
2018-11-16,4296
2018-11-19,4236
2018-11-20,4196
2018-11-21,4164
2018-11-22,4182
2018-11-23,4218
2018-11-26,4206
2018-11-27,4128
2018-11-28,4168
2018-11-29,4212
2018-11-30,4522
2018-12-03,4514
2018-12-04,4514
2018-12-05,4512
2018-12-06,4534
2018-12-07,4486
2018-12-10,4524
2018-12-11,4496
2018-12-12,4496
2018-12-13,4504
2018-12-14,4504
2018-12-17,4488
2018-12-18,4532
2018-12-19,4592
2018-12-20,4596
2018-12-21,4600
2018-12-24,4556
2018-12-25,4480
2018-12-26,4498
2018-12-27,4504
2018-12-28,4482
2019-01-02,4598
2019-01-03,4630
2019-01-04,4634
2019-01-07,4634
2019-01-08,4666
2019-01-09,4680
2019-01-10,4630
2019-01-11,4634
2019-01-14,4642
2019-01-15,4618
2019-01-16,4616
2019-01-17,4578
2019-01-18,4678
2019-01-21,4752
2019-01-22,4726
2019-01-23,4748
2019-01-24,4780
2019-01-25,4778
2019-01-28,4844
2019-01-29,4822
2019-01-30,4802
2019-01-31,4778
2019-02-01,4780
2019-02-11,4772
2019-02-12,4764
2019-02-13,4778
