date,price
2018-01-16,6432
2018-01-17,6452
2018-01-18,6466
2018-01-19,6386
2018-01-22,6444
2018-01-23,6460
2018-01-24,6498
2018-01-25,6490
2018-01-26,6518
2018-01-29,6512
2018-01-30,6420
2018-01-31,6458
2018-02-01,6424
2018-02-02,6344
2018-02-05,6354
2018-02-06,6330
2018-02-07,6330
2018-02-08,6332
2018-02-09,6298
2018-02-12,6300
2018-02-13,6298
2018-02-14,6240
2018-02-22,6238
2018-02-23,6350
2018-02-26,6378
2018-02-27,6358
2018-02-28,6390
2018-03-01,6390
2018-03-02,6440
2018-03-05,6378
2018-03-06,6364
2018-03-07,6302
2018-03-08,6308
2018-03-09,6236
2018-03-12,6266
2018-03-13,6366
2018-03-14,6348
2018-03-15,6332
2018-03-16,6340
2018-03-19,6406
2018-03-20,6562
2018-03-21,6514
2018-03-22,6558
2018-03-23,6528
2018-03-26,6520
2018-03-27,6480
2018-03-28,6468
2018-03-29,6404
2018-03-30,6464
2018-04-02,6558
2018-04-03,6548
2018-04-04,6574
2018-04-09,6604
2018-04-10,6612
2018-04-11,6594
2018-04-12,6518
2018-04-13,6532
2018-04-16,6474
2018-04-17,6476
2018-04-18,6468
2018-04-19,6530
2018-04-20,6548
2018-04-23,6556
2018-04-24,6486
2018-04-25,6510
2018-04-26,6472
2018-04-27,6442
2018-05-02,6464
2018-05-03,6508
2018-05-04,6486
2018-05-07,6524
2018-05-08,6526
2018-05-09,6610
2018-05-10,6616
2018-05-11,6620
2018-05-14,6614
2018-05-15,6610
2018-05-16,6533
2018-05-17,6560
2018-05-18,6645
2018-05-21,6726
2018-05-22,6789
2018-05-23,6776
2018-05-24,6856
2018-05-25,6784
2018-05-28,6753
2018-05-29,6894
2018-05-30,6970
2018-05-31,6954
2018-06-01,6949
2018-06-04,6926
2018-06-05,6818
2018-06-06,6807
2018-06-07,6797
2018-06-08,6718
2018-06-11,6712
2018-06-12,6705
2018-06-13,6662
2018-06-14,6687
2018-06-15,6753
2018-06-19,6392
2018-06-20,6485
2018-06-21,6504
2018-06-22,6476
2018-06-25,6480
2018-06-26,6438
2018-06-27,6492
2018-06-28,6477
2018-06-29,6661
2018-07-02,6676
2018-07-03,6666
2018-07-04,6647
2018-07-05,6667
2018-07-06,6652
2018-07-09,6667
2018-07-10,6627
2018-07-11,6576
2018-07-12,6530
2018-07-13,6437
2018-07-16,6434
2018-07-17,6435
2018-07-18,6443
2018-07-19,6462
2018-07-20,6440
2018-07-23,6477
2018-07-24,6463
2018-07-25,6462
2018-07-26,6522
2018-07-27,6520
2018-07-30,6527
2018-07-31,6502
2018-08-01,6508
2018-08-02,6504
2018-08-03,6520
2018-08-06,6533
2018-08-07,6619
2018-08-08,6647
2018-08-09,6660
2018-08-10,6660
2018-08-13,6586
2018-08-14,6596
2018-08-15,6630
2018-08-16,6585
2018-08-17,6693
2018-08-20,6766
2018-08-21,6762
2018-08-22,6812
2018-08-23,6747
2018-08-24,6731
2018-08-27,6638
2018-08-28,6660
2018-08-29,6597
2018-08-30,6639
2018-08-31,6612
2018-09-03,6663
2018-09-04,6697
2018-09-05,6699
2018-09-06,6728
2018-09-07,6715
2018-09-10,6763
2018-09-11,6742
2018-09-12,6737
2018-09-13,6711
2018-09-14,6724
2018-09-17,6757
2018-09-18,6709
2018-09-19,6637
2018-09-20,6613
2018-09-21,6563
2018-09-25,6617
2018-09-26,6704
2018-09-27,6670
2018-09-28,6650
2018-10-08,6672
2018-10-09,6805
2018-10-10,6820
2018-10-11,6714
2018-10-12,6768
2018-10-15,6775
2018-10-16,6744
2018-10-17,6766
2018-10-18,6698
2018-10-19,6662
2018-10-22,6700
2018-10-23,6645
2018-10-24,6585
2018-10-25,6539
2018-10-26,6547
2018-10-29,6580
2018-10-30,6550
2018-10-31,6545
2018-11-01,6535
2018-11-02,6416
2018-11-05,6469
2018-11-06,6458
2018-11-07,6460
2018-11-08,6432
2018-11-09,6391
2018-11-12,6386
2018-11-13,6371
2018-11-14,6286
2018-11-15,6321
2018-11-16,6325
2018-11-19,6294
2018-11-20,6335
2018-11-21,6353
2018-11-22,6388
2018-11-23,6426
2018-11-26,6426
2018-11-27,6365
2018-11-28,6388
2018-11-29,6383
2018-11-30,6433
2018-12-03,6565
2018-12-04,6585
2018-12-05,6601
2018-12-06,6668
2018-12-07,6668
2018-12-10,6651
2018-12-11,6636
2018-12-12,6693
2018-12-13,6682
2018-12-14,6592
2018-12-17,6627
2018-12-18,6618
2018-12-19,6652
2018-12-20,6547
2018-12-21,6523
2018-12-24,6509
2018-12-25,6458
2018-12-26,6460
2018-12-27,6436
2018-12-28,6435
2019-01-02,6493
2019-01-03,6524
2019-01-04,6540
2019-01-07,6542
2019-01-08,6557
2019-01-09,6535
2019-01-10,6524
2019-01-11,6479
2019-01-14,6436
2019-01-15,6459
2019-01-16,6475
2019-01-17,6456
2019-01-18,6507
2019-01-21,6595
2019-01-22,6655
2019-01-23,6644
2019-01-24,6642
2019-01-25,6640
2019-01-28,6738
2019-01-29,6737
2019-01-30,6736
2019-01-31,6699
2019-02-01,6690
2019-02-11,6667
2019-02-12,6674
2019-02-13,6678
2019-02-14,6699
2019-02-15,6660
2019-02-18,6696
2019-02-19,6779
2019-02-20,6711
2019-02-21,6683
2019-02-22,6679
2019-02-25,6678
2019-02-26,6594
2019-02-27,6595
2019-02-28,6631
2019-03-01,6786
2019-03-04,6876
2019-03-05,6906
2019-03-06,7093
2019-03-07,7049
2019-03-08,7195
2019-03-11,7236
2019-03-12,7006
2019-03-13,6904
2019-03-14,6840
2019-03-15,6851
2019-03-18,6943
2019-03-19,6980
2019-03-20,6965
2019-03-21,6970
2019-03-22,7067
2019-03-25,7064
2019-03-26,7074
2019-03-27,7174
2019-03-28,6973
2019-03-29,6944
2019-04-01,6957
2019-04-02,6999
2019-04-03,7058
2019-04-04,7069
2019-04-08,7100
2019-04-09,7097
2019-04-10,7095
2019-04-11,7093
2019-04-12,7094
2019-04-15,7042
2019-04-16,7034
2019-04-17,7050
2019-04-18,6994
2019-04-19,6991
2019-04-22,6996
2019-04-23,6982
2019-04-24,6862
2019-04-25,6842
2019-04-26,6809
2019-04-29,6813
2019-04-30,6822
2019-05-06,6818
2019-05-07,6881
