date,price
2018-01-16,2269
2018-01-17,2280
2018-01-18,2275
2018-01-19,2294
2018-01-22,2302
2018-01-23,2305
2018-01-24,2283
2018-01-25,2315
2018-01-26,2298
2018-01-29,2340
2018-01-30,2343
2018-01-31,2345
2018-02-01,2338
2018-02-02,2311
2018-02-05,2313
2018-02-06,2303
2018-02-07,2335
2018-02-08,2338
2018-02-09,2334
2018-02-12,2380
2018-02-13,2371
2018-02-14,2380
2018-02-22,2464
2018-02-23,2461
2018-02-26,2466
2018-02-27,2463
2018-02-28,2493
2018-03-01,2506
2018-03-02,2578
2018-03-05,2570
2018-03-06,2565
2018-03-07,2553
2018-03-08,2548
2018-03-09,2537
2018-03-12,2517
2018-03-13,2517
2018-03-14,2525
2018-03-15,2494
2018-03-16,2510
2018-03-19,2484
2018-03-20,2477
2018-03-21,2475
2018-03-22,2461
2018-03-23,2502
2018-03-26,2530
2018-03-27,2497
2018-03-28,2496
2018-03-29,2473
2018-03-30,2573
2018-04-02,2589
2018-04-03,2578
2018-04-04,2623
2018-04-09,2712
2018-04-10,2686
2018-04-11,2686
2018-04-12,2663
2018-04-13,2675
2018-04-16,2660
2018-04-17,2697
2018-04-18,2664
2018-04-19,2657
2018-04-20,2664
2018-04-23,2653
2018-04-24,2645
2018-04-25,2662
2018-04-26,2650
2018-04-27,2646
2018-05-02,2676
2018-05-03,2680
2018-05-04,2650
2018-05-07,2623
2018-05-08,2559
2018-05-09,2561
2018-05-10,2573
2018-05-11,2528
2018-05-14,2500
2018-05-15,2495
2018-05-16,2444
2018-05-17,2445
2018-05-18,2444
2018-05-21,2443
2018-05-22,2441
2018-05-23,2475
2018-05-24,2533
2018-05-25,2516
2018-05-28,2526
2018-05-29,2559
2018-05-30,2531
2018-05-31,2505
2018-06-01,2498
2018-06-04,2506
2018-06-05,2480
2018-06-06,2481
2018-06-07,2459
2018-06-08,2379
2018-06-11,2370
2018-06-12,2367
2018-06-13,2379
2018-06-14,2384
2018-06-15,2380
2018-06-19,2454
2018-06-20,2451
2018-06-21,2440
2018-06-22,2380
2018-06-25,2407
2018-06-26,2439
2018-06-27,2489
2018-06-28,2489
2018-06-29,2532
2018-07-02,2588
2018-07-03,2569
2018-07-04,2538
2018-07-05,2553
2018-07-06,2545
2018-07-09,2537
2018-07-10,2527
2018-07-11,2516
2018-07-12,2502
2018-07-13,2490
2018-07-16,2508
2018-07-17,2534
2018-07-18,2500
2018-07-19,2518
2018-07-20,2524
2018-07-23,2513
2018-07-24,2520
2018-07-25,2491
2018-07-26,2514
2018-07-27,2492
2018-07-30,2522
2018-07-31,2516
2018-08-01,2466
2018-08-02,2476
2018-08-03,2437
2018-08-06,2480
2018-08-07,2501
2018-08-08,2544
2018-08-09,2544
2018-08-10,2549
2018-08-13,2489
2018-08-14,2534
2018-08-15,2557
2018-08-16,2518
2018-08-17,2504
2018-08-20,2479
2018-08-21,2471
2018-08-22,2484
2018-08-23,2410
2018-08-24,2413
2018-08-27,2348
2018-08-28,2356
2018-08-29,2360
2018-08-30,2385
2018-08-31,2378
2018-09-03,2385
2018-09-04,2357
2018-09-05,2360
2018-09-06,2375
2018-09-07,2337
2018-09-10,2386
2018-09-11,2404
2018-09-12,2384
2018-09-13,2334
2018-09-14,2344
2018-09-17,2336
2018-09-18,2353
2018-09-19,2357
2018-09-20,2383
2018-09-21,2390
2018-09-25,2452
2018-09-26,2464
2018-09-27,2487
2018-09-28,2508
2018-10-08,2581
2018-10-09,2609
2018-10-10,2623
2018-10-11,2605
2018-10-12,2593
2018-10-15,2590
2018-10-16,2593
2018-10-17,2580
2018-10-18,2567
2018-10-19,2570
2018-10-22,2511
2018-10-23,2505
2018-10-24,2534
2018-10-25,2514
2018-10-26,2558
2018-10-29,2543
2018-10-30,2482
2018-10-31,2494
2018-11-01,2460
2018-11-02,2346
2018-11-05,2378
2018-11-06,2378
2018-11-07,2393
2018-11-08,2335
2018-11-09,2326
2018-11-12,2326
2018-11-13,2326
2018-11-14,2316
2018-11-15,2285
2018-11-16,2356
2018-11-19,2347
2018-11-20,2336
2018-11-21,2381
2018-11-22,2363
2018-11-23,2316
2018-11-26,2207
2018-11-27,2167
2018-11-28,2185
2018-11-29,2187
2018-11-30,2186
2018-12-03,2203
2018-12-04,2178
2018-12-05,2213
2018-12-06,2232
2018-12-07,2235
2018-12-10,2210
2018-12-11,2216
2018-12-12,2227
2018-12-13,2222
2018-12-14,2177
2018-12-17,2165
2018-12-18,2172
2018-12-19,2171
2018-12-20,2175
2018-12-21,2174
2018-12-24,2111
2018-12-25,2107
2018-12-26,2108
2018-12-27,2102
2018-12-28,2097
2019-01-02,2123
2019-01-03,2139
2019-01-04,2177
2019-01-07,2176
2019-01-08,2171
2019-01-09,2179
2019-01-10,2170
2019-01-11,2139
2019-01-14,2100
2019-01-15,2110
2019-01-16,2091
2019-01-17,2103
2019-01-18,2115
2019-01-21,2145
2019-01-22,2159
2019-01-23,2148
2019-01-24,2158
2019-01-25,2138
2019-01-28,2136
2019-01-29,2112
2019-01-30,2108
2019-01-31,2133
2019-02-01,2131
2019-02-11,2185
2019-02-12,2208
2019-02-13,2204
2019-02-14,2192
2019-02-15,2163
2019-02-18,2158
2019-02-19,2154
2019-02-20,2114
2019-02-21,2116
2019-02-22,2115
2019-02-25,2098
2019-02-26,2108
2019-02-27,2074
2019-02-28,2079
2019-03-01,2172
2019-03-04,2146
2019-03-05,2158
2019-03-06,2177
2019-03-07,2180
2019-03-08,2236
2019-03-11,2226
2019-03-12,2173
2019-03-13,2170
2019-03-14,2181
2019-03-15,2193
2019-03-18,2213
2019-03-19,2220
2019-03-20,2210
2019-03-21,2208
2019-03-22,2230
2019-03-25,2214
2019-03-26,2216
2019-03-27,2236
2019-03-28,2177
2019-03-29,2180
2019-04-01,2180
2019-04-02,2224
2019-04-03,2230
2019-04-04,2231
2019-04-08,2237
2019-04-09,2206
2019-04-10,2207
2019-04-11,2215
2019-04-12,2193
2019-04-15,2227
2019-04-16,2231
2019-04-17,2214
2019-04-18,2212
2019-04-19,2230
2019-04-22,2226
2019-04-23,2221
2019-04-24,2210
2019-04-25,2181
2019-04-26,2172
2019-04-29,2185
2019-04-30,2183
2019-05-06,2184
2019-05-07,2209
2019-05-08,2215
2019-05-09,2270
2019-05-10,2261
2019-05-13,2267
2019-05-14,2261
2019-05-15,2289
2019-05-16,2336
2019-05-17,2335
2019-05-20,2358
2019-05-21,2418
2019-05-22,2407
2019-05-23,2412
2019-05-24,2417
2019-05-27,2460
2019-05-28,2478
2019-05-29,2592
2019-05-30,2510
2019-05-31,2519
2019-06-03,2541
2019-06-04,2570
2019-06-05,2533
2019-06-06,2478
2019-06-10,2468
2019-06-11,2466
2019-06-12,2460
2019-06-13,2523
2019-06-14,2523
2019-06-17,2565
2019-06-18,2526
2019-06-19,2475
2019-06-20,2488
2019-06-21,2531
2019-06-24,2580
2019-06-25,2600
2019-06-26,2575
2019-06-27,2565
2019-06-28,2580
2019-07-01,2511
2019-07-02,2477
2019-07-03,2468
2019-07-04,2460
2019-07-05,2454
2019-07-08,2443
2019-07-09,2412
2019-07-10,2433
2019-07-11,2430
2019-07-12,2432
2019-07-15,2487
2019-07-16,2428
2019-07-17,2446
2019-07-18,2442
2019-07-19,2435
2019-07-22,2389
2019-07-23,2412
2019-07-24,2381
2019-07-25,2387
2019-07-26,2362
2019-07-29,2375
2019-07-30,2392
2019-07-31,2408
2019-08-01,2381
2019-08-02,2414
2019-08-05,2470
2019-08-06,2461
2019-08-07,2323
2019-08-08,2311
2019-08-09,2330
2019-08-12,2327
2019-08-13,2375
2019-08-14,2321
2019-08-15,2309
2019-08-16,2302
2019-08-19,2307
2019-08-20,2320
2019-08-21,2333
2019-08-22,2364
2019-08-23,2378
2019-08-26,2403
2019-08-27,2365
2019-08-28,2384
2019-08-29,2396
2019-08-30,2354
2019-09-02,2395
2019-09-03,2407
2019-09-04,2381
2019-09-05,2336
2019-09-06,2280
2019-09-09,2269
2019-09-10,2274
2019-09-11,2244
2019-09-12,2260
2019-09-16,2251
2019-09-17,2260
2019-09-18,2265
2019-09-19,2272
2019-09-20,2267
2019-09-23,2272
2019-09-24,2273
2019-09-25,2285
2019-09-26,2266
2019-09-27,2252
2019-09-30,2282
2019-10-08,2313
2019-10-09,2355
2019-10-10,2355
2019-10-11,2377
2019-10-14,2349
2019-10-15,2351
2019-10-16,2354
2019-10-17,2350
2019-10-18,2360
2019-10-21,2421
2019-10-22,2397
2019-10-23,2392
2019-10-24,2362
2019-10-25,2349
2019-10-28,2322
2019-10-29,2324
2019-10-30,2323
2019-10-31,2292
2019-11-01,2287
2019-11-04,2276
2019-11-05,2269
2019-11-06,2234
2019-11-07,2240
2019-11-08,2246
2019-11-11,2197
2019-11-12,2190
2019-11-13,2190
2019-11-14,2175
2019-11-15,2179
2019-11-18,2202
2019-11-19,2201
2019-11-20,2196
2019-11-21,2210
2019-11-22,2185
2019-11-25,2214
2019-11-26,2220
2019-11-27,2197
2019-11-28,2207
2019-11-29,2195
2019-12-02,2199
2019-12-03,2289
2019-12-04,2283
2019-12-05,2282
2019-12-06,2282
2019-12-09,2309
2019-12-10,2313
2019-12-11,2338
2019-12-12,2308
2019-12-13,2288
2019-12-16,2287
2019-12-17,2290
2019-12-18,2290
2019-12-19,2274
2019-12-20,2273
2019-12-23,2287
2019-12-24,2272
2019-12-25,2276
2019-12-26,2260
2019-12-27,2275
2019-12-30,2322
2019-12-31,2327
2020-01-02,2327
2020-01-03,2329
2020-01-06,2308
2020-01-07,2337
2020-01-08,2318
2020-01-09,2314
2020-01-10,2263
2020-01-13,2269
2020-01-14,2248
2020-01-15,2275
2020-01-16,2271
2020-01-17,2261
2020-01-20,2274
2020-01-21,2304
2020-01-22,2249
2020-01-23,2234
2020-02-03,2163
2020-02-04,2243
2020-02-05,2231
2020-02-06,2229
2020-02-07,2232
2020-02-10,2253
2020-02-11,2246
2020-02-12,2241
2020-02-13,2294
2020-02-14,2293
2020-02-17,2318
2020-02-18,2295
2020-02-19,2294
2020-02-20,2293
2020-02-21,2294
2020-02-24,2243
2020-02-25,2264
2020-02-26,2265
2020-02-27,2298
2020-02-28,2240
2020-03-02,2370
2020-03-03,2377
2020-03-04,2372
2020-03-05,2374
2020-03-06,2334
2020-03-09,2269
2020-03-10,2296
2020-03-11,2290
2020-03-12,2279
2020-03-13,2308
2020-03-16,2305
