date,price
2018-01-16,5728
2018-01-17,5708
2018-01-18,5722
2018-01-19,5678
2018-01-22,5744
2018-01-23,5760
2018-01-24,5780
2018-01-25,5778
2018-01-26,5796
2018-01-29,5814
2018-01-30,5728
2018-01-31,5758
2018-02-01,5696
2018-02-02,5630
2018-02-05,5610
2018-02-06,5600
2018-02-07,5632
2018-02-08,5640
2018-02-09,5620
2018-02-12,5644
2018-02-13,5650
2018-02-14,5634
2018-02-22,5658
2018-02-23,5748
2018-02-26,5784
2018-02-27,5766
2018-02-28,5796
2018-03-01,5798
2018-03-02,5854
2018-03-05,5854
2018-03-06,5832
2018-03-07,5766
2018-03-08,5732
2018-03-09,5670
2018-03-12,5672
2018-03-13,5708
2018-03-14,5710
2018-03-15,5684
2018-03-16,5684
2018-03-19,5686
2018-03-20,5660
2018-03-21,5628
2018-03-22,5678
2018-03-23,5828
2018-03-26,5856
2018-03-27,5796
2018-03-28,5792
2018-03-29,5722
2018-03-30,5820
2018-04-02,5904
2018-04-03,5888
2018-04-04,5954
2018-04-09,5976
2018-04-10,5950
2018-04-11,5900
2018-04-12,5830
2018-04-13,5844
2018-04-16,5808
2018-04-17,5820
2018-04-18,5802
2018-04-19,5820
2018-04-20,5810
2018-04-23,5824
2018-04-24,5762
2018-04-25,5766
2018-04-26,5736
2018-04-27,5734
2018-05-02,5758
2018-05-03,5778
2018-05-04,5766
2018-05-07,5806
2018-05-08,5782
2018-05-09,5824
2018-05-10,5842
2018-05-11,5830
2018-05-14,5780
2018-05-15,5766
2018-05-16,5740
2018-05-17,5744
2018-05-18,5810
2018-05-21,5794
2018-05-22,5812
2018-05-23,5798
2018-05-24,5824
2018-05-25,5794
2018-05-28,5750
2018-05-29,5806
2018-05-30,5838
2018-05-31,5844
2018-06-01,5862
2018-06-04,5884
2018-06-05,5832
2018-06-06,5814
2018-06-07,5822
2018-06-08,5734
2018-06-11,5738
2018-06-12,5700
2018-06-13,5632
2018-06-14,5656
2018-06-15,5664
2018-06-19,5458
2018-06-20,5494
2018-06-21,5490
2018-06-22,5492
2018-06-25,5508
2018-06-26,5502
2018-06-27,5558
2018-06-28,5554
2018-06-29,5570
2018-07-02,5596
2018-07-03,5596
2018-07-04,5580
2018-07-05,5592
2018-07-06,5614
2018-07-09,5614
2018-07-10,5524
2018-07-11,5500
2018-07-12,5512
2018-07-13,5470
2018-07-16,5456
2018-07-17,5478
2018-07-18,5490
2018-07-19,5514
2018-07-20,5488
2018-07-23,5504
2018-07-24,5508
2018-07-25,5692
2018-07-26,5754
2018-07-27,5780
2018-07-30,5814
2018-07-31,5820
2018-08-01,5814
2018-08-02,5824
2018-08-03,5800
2018-08-06,5844
2018-08-07,5878
2018-08-08,5888
2018-08-09,5914
2018-08-10,5896
2018-08-13,5842
2018-08-14,5864
2018-08-15,5882
2018-08-16,5834
2018-08-17,5882
2018-08-20,5876
2018-08-21,5884
2018-08-22,5874
2018-08-23,5864
2018-08-24,5860
2018-08-27,5786
2018-08-28,5828
2018-08-29,5782
2018-08-30,5798
2018-08-31,5768
2018-09-03,5822
2018-09-04,5874
2018-09-05,5856
2018-09-06,5874
2018-09-07,5872
2018-09-10,5916
2018-09-11,5906
2018-09-12,5892
2018-09-13,5828
2018-09-14,5836
2018-09-17,5850
2018-09-18,5822
2018-09-19,5778
2018-09-20,5750
2018-09-21,5734
2018-09-25,5816
2018-09-26,5874
2018-09-27,5866
2018-09-28,5854
2018-10-08,5882
2018-10-09,5964
2018-10-10,5980
2018-10-11,5874
2018-10-12,5918
2018-10-15,5916
2018-10-16,5870
2018-10-17,5878
2018-10-18,5788
2018-10-19,5774
2018-10-22,5784
2018-10-23,5752
2018-10-24,5696
2018-10-25,5670
2018-10-26,5674
2018-10-29,5700
2018-10-30,5648
2018-10-31,5652
2018-11-01,5634
2018-11-02,5458
2018-11-05,5538
2018-11-06,5536
2018-11-07,5518
2018-11-08,5472
2018-11-09,5452
2018-11-12,5464
2018-11-13,5436
2018-11-14,5356
2018-11-15,5386
2018-11-16,5444
2018-11-19,5416
2018-11-20,5402
2018-11-21,5436
2018-11-22,5412
2018-11-23,5398
2018-11-26,5428
2018-11-27,5374
2018-11-28,5388
2018-11-29,5390
2018-11-30,5556
2018-12-03,5530
2018-12-04,5534
2018-12-05,5526
