date,price
2018-01-16,2754
2018-01-17,2770
2018-01-18,2767
2018-01-19,2780
2018-01-22,2786
2018-01-23,2784
2018-01-24,2758
2018-01-25,2781
2018-01-26,2771
2018-01-29,2808
2018-01-30,2804
2018-01-31,2815
2018-02-01,2799
2018-02-02,2767
2018-02-05,2769
2018-02-06,2764
2018-02-07,2805
2018-02-08,2806
2018-02-09,2801
2018-02-12,2841
2018-02-13,2843
2018-02-14,2857
2018-02-22,2959
2018-02-23,2957
2018-02-26,2972
2018-02-27,2972
2018-02-28,3008
2018-03-01,3054
2018-03-02,3129
2018-03-05,3120
2018-03-06,3123
2018-03-07,3117
2018-03-08,3115
2018-03-09,3097
2018-03-12,3054
2018-03-13,3060
2018-03-14,3018
2018-03-15,2995
2018-03-16,3036
2018-03-19,2993
2018-03-20,2979
2018-03-21,2993
2018-03-22,3000
2018-03-23,3046
2018-03-26,3090
2018-03-27,3057
2018-03-28,3044
2018-03-29,3018
2018-03-30,3158
2018-04-02,3163
2018-04-03,3161
2018-04-04,3223
2018-04-09,3327
2018-04-10,3251
2018-04-11,3247
2018-04-12,3220
2018-04-13,3229
2018-04-16,3202
2018-04-17,3265
2018-04-18,3228
2018-04-19,3214
2018-04-20,3232
2018-04-23,3205
2018-04-24,3194
2018-04-25,3202
2018-04-26,3176
2018-04-27,3168
2018-05-02,3226
2018-05-03,3224
2018-05-04,3206
2018-05-07,3157
2018-05-08,3089
2018-05-09,3106
2018-05-10,3115
2018-05-11,3074
2018-05-14,3030
2018-05-15,3028
2018-05-16,2971
2018-05-17,2976
2018-05-18,2961
2018-05-21,2956
2018-05-22,2958
2018-05-23,2980
2018-05-24,3044
2018-05-25,3024
2018-05-28,3036
2018-05-29,3076
2018-05-30,3045
2018-05-31,3020
2018-06-01,3029
2018-06-04,3042
2018-06-05,3011
2018-06-06,3013
2018-06-07,2985
2018-06-08,2893
2018-06-11,2906
2018-06-12,2910
2018-06-13,2940
2018-06-14,2947
2018-06-15,2935
2018-06-19,3054
2018-06-20,3044
2018-06-21,3012
2018-06-22,2968
2018-06-25,3004
2018-06-26,3058
2018-06-27,3126
2018-06-28,3119
2018-06-29,3217
2018-07-02,3252
2018-07-03,3217
2018-07-04,3193
2018-07-05,3199
